rel_income,perc_025,perc_05,perc_25,perc_50,perc_75,perc_95,perc_975,perc_mean,perc_std,perc_upper_std,perc_lower_std
1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NaN,NaN,NaN
1.6,0.1,0.1,0.95,0.95,0.95,0.95,0.95,0.7611111111111112,0.3748147690674836,1.5107406492460784,0.011481572976143939
1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.0425,0.045,0.05,0.05,0.05,0.1,0.1,0.058181818181818196,0.020889318714683743,0.09996045561118569,0.01640318075245071
26.3,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.782608695652174,0.0860875553937727,0.9547838064397194,0.6104335848646285
25.4,0.75,0.75,0.75,0.75,0.875,1.0,1.0,0.8142857142857143,0.11085989340779005,1.0360055011012943,0.5925659274701341
24.9,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.859375,0.128086884574495,1.11554876914899,0.60320123085101
24.4,0.75,0.75,0.8,1.0,1.0,1.0,1.0,0.9185185185185186,0.10932322238009154,1.1371649632787018,0.6998720737583355
22.0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,0.8805970149253718,0.09883994709867797,1.0782769091227278,0.6829171207280158
21.0,0.5,0.5,0.8,1.0,1.0,1.0,1.0,0.9090909090909092,0.17022712100976367,1.2495451511104365,0.5686366670713818
20.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.6511627906976745,0.23235040555905018,1.1158636018157748,0.1864619795795741
22.4,0.8,0.8,0.8,0.8,1.0,1.0,1.0,0.8545454545454539,0.08989331499509898,1.0343320845356518,0.674758824555256
21.3,0.6125,0.7250000000000001,0.8,1.0,1.0,1.0,1.0,0.8937500000000003,0.14361406616345074,1.1809781323269017,0.6065218676730988
21.9,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.9294117647058826,0.09851843661437779,1.1264486379346381,0.7323748914771271
22.3,0.75,0.7975000000000001,0.8,0.8,0.8500000000000001,1.0,1.0,0.8475000000000004,0.08983603297404003,1.0271720659480805,0.6678279340519203
22.6,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.8232758620689649,0.06636919416004924,0.9560142503890634,0.6905374737488663
